,rank,SMILES,Enamine catalog ID,mol_weight,logP,PAINS passed,DockingScore
92,93,COC12CCCC(C1)CC(C2)NC(=O)NCc1ccc(c(c1)CO)F,Z3787599497,350.428,2.8550000000000018,Yes,-12.719612121582031
93,94,N#Cc1ccc(cc1)NNC(=O)Nc1ccc(c(c1)Cl)N1CCOCC1C,Z2712312497,385.848,3.5853800000000016,Yes,-12.717551231384276
94,95,OC(=O)COc1ccc(cc1)S(=O)(=O)NCCCc1ccccc1,Z374752650,349.403,2.0611,Yes,-12.71545124053955
95,96,N#Cc1ccc(cc1F)NC(=O)NCc1ccc(cc1)NS(=O)(=O)C,Z2171639147,362.380,2.39058,Yes,-12.703424453735352
96,97,Fc1cccc(c1)CCCNC(=O)C(=O)Nc1ccc(cc1)n1cnnn1,Z1169546434,368.366,1.4888999999999994,Yes,-12.701889991760254
97,98,FC[C@@H]1C[C@@H](C1)NC(=O)NCCCc1c[nH]c2c1cc(F)cc2,Z5517860113,321.366,3.286900000000002,Yes,-12.689690589904783
98,99,OCc1cccc(c1)CNC(=O)Nc1ccc2c(c1)CCOC2,Z2626412585,312.364,2.5733000000000006,Yes,-12.685591697692873
99,100,O=C(NC1CC2(C1)CC(C2)(F)F)NCCC1Cc2c(C1)cccc2,Z2698625409,334.404,3.6686000000000023,Yes,-12.676547050476074
100,101,CSCc1cccc(c1)CNC(=O)NC1CCc2c(C1)cccc2,PV-002344549164,340.484,3.9063000000000025,Yes,-12.674382209777832
101,102,COCc1ccc(cc1)NC(=O)Cc1ccc(cc1)S(=O)(=O)C(F)F,Z1883206429,369.385,3.0105000000000013,Yes,-12.669801712036133
102,103,O=C1CCC2C(N1)CN(C2)C(=O)NCCCc1cccc(c1)F,Z3437763247,319.375,1.6783,Yes,-12.664533615112305
103,104,Cc1cccc(c1)C(=O)NCCC(=O)N1CCC(CC1)(O)C(F)(F)F,Z1535253853,358.356,2.03072,Yes,-12.66174602508545
104,105,COc1ccc(cc1)CNC(=O)Nc1ccc(cc1)S(=O)(=O)C,Z410662078,334.392,2.4204000000000008,Yes,-12.660030364990234
105,106,OCCc1ccc(cc1)NC(=O)CCC(=O)c1ccc2c(c1)cccc2,Z1027075778,347.408,3.976200000000002,Yes,-12.649386405944824
106,107,COc1cccc(c1)N1CCC(CC1)NC(=O)CC12CC3CC(C1)CC(C2)(C3)N,Z3792025283,397.555,3.4680000000000017,Yes,-12.647619247436523
107,108,N[C@@H]1CCC[C@@H](C1)NC(=O)NCCC1Cc2c(C1)cccc2,Z2362558409,301.427,2.3606,Yes,-12.647493362426758
108,109,CCSCc1cccc(c1)NC(=O)NCCNc1cccnn1,Z1278054196,331.438,2.963300000000001,Yes,-12.639863014221191
109,110,OCc1ccc(cc1)CCC(=O)NC(C(=O)c1ccc(cc1)Cl)C,Z3371065512,345.821,3.1525000000000016,Yes,-12.627543449401855
